no_install_date,install_date,count_bike,sum_bike_end,percentage_end
,2016-02-08,1396,1506,1.0787965616045845
,2015-06-26,2359,2608,1.10555320050869
,2011-07-05,1216,1272,1.0460526315789473
,2011-02-24,2628,2944,1.1202435312024352
,2016-10-13,354,365,1.0310734463276836
,2011-01-19,2922,3322,1.1368925393566052
,2010-10-22,958,996,1.0396659707724425
,2010-10-11,1943,2126,1.0941842511580031
,2011-01-17,1108,1150,1.0379061371841156
,2011-07-12,2404,2707,1.1260399334442597
,2016-07-04,1228,1292,1.0521172638436482
,2013-10-07,521,538,1.0326295585412668
,2019-07-17,564,574,1.0177304964539007
,2017-03-09,25,25,1
